序号,招聘信息id,公司地址,招聘岗位,公司类型,最低薪资,最高薪资,员工数量,学历,岗位经验,企业名称,企业类型
445,1482196148415496193,广州天河区,数据分析员,50-100人,7000,10000,合资,3,0,北京赛惟咨询有限公司,"[""互联网""]"
446,1482196148415496192,广州天河区,制药行业主数据产品经理,50-100人,20000,30000,合资,3,5,北京三维天地科技股份有限公司,"[""互联网""]"
447,1482196148411301900,广州,零售行业主数据产品经理(J10281),50-100人,15000,25000,合资,3,3,北京三维天地科技股份有限公司,"[""互联网""]"
448,1482196148411301899,广州天河区,数据分析师/BI,50-100人,6000,9000,合资,2,1,尚德机构,"[""互联网""]"
449,1482196148411301898,广州天河区,数据分析师-GZ,50-100人,9000,14000,合资,3,1,深演智能,"[""互联网""]"
450,1482196148411301897,广州天河区,数据分析师-GZ,50-100人,9000,14000,合资,3,1,深演智能,"[""互联网""]"
451,1482196148411301896,广州天河区,数据产品运营经理-GZ,50-100人,10000,15000,合资,3,3,深演智能,"[""互联网""]"
452,1482196148411301895,广州天河区,高级数据产品经理,50-100人,15000,25000,合资,3,3,DataHunter,"[""互联网""]"
453,1482196148411301894,广州,数据分析师,50-100人,6000,9000,合资,3,1,北京数起科技有限公司,"[""互联网""]"
454,1482196148411301893,广州,数据分析师,50-100人,6000,9000,合资,3,1,北京数起科技有限公司,"[""互联网""]"
455,1482196148411301892,广州,高级客户经理（气象大数据产品）,50-100人,10000,20000,合资,3,3,思特奇信息技术,"[""互联网""]"
456,1482196148411301891,广州天河区,产品经理（气象大数据产品）,50-100人,10000,20000,合资,3,3,思特奇信息技术,"[""互联网""]"
457,1482196148411301890,广州天河区,数据分析运营专员,50-100人,5000,10000,合资,3,1,58同城,"[""互联网""]"
458,1482196148411301889,广州天河区,数据分析师（发展前景+双休）,50-100人,8000,14000,合资,3,1,58同城,"[""互联网""]"
459,1482196148411301888,广州天河区,数据分析师（发展前景+双休）,50-100人,8000,14000,合资,3,1,58同城,"[""互联网""]"
460,1482196087983964193,广州天河区,产品经理,50-100人,15000,20000,合资,3,3,北京西骏数据科技股份有限公司,"[""互联网""]"
461,1482196087983964192,广州,数据产品技术经理,50-100人,15000,25000,合资,3,5,先进数通,"[""互联网""]"
462,1482196087983964191,广州天河区,数据分析师,50-100人,10000,15000,合资,3,1,新意互动,"[""互联网""]"
463,1482196087983964190,广州天河区,数据分析师,50-100人,10000,15000,合资,3,1,新意互动,"[""互联网""]"
464,1482196087983964189,广州天河区,自然语言处理/NLP工程师（2019校园招聘）,50-100人,10000,15000,合资,4,0,修齐治平,"[""互联网""]"
465,1482196087983964188,广州天河区,自然语言处理/NLP工程师,50-100人,13000,25000,合资,4,1,修齐治平,"[""互联网""]"
466,1482196087983964187,广州天河区,ETL/BI/数据库开发工程师,50-100人,9000,14000,合资,2,1,北京宇信科技集团股份有限公司广州分公司,"[""互联网""]"
467,1482196087983964186,广州天河区,数据治理/数据中台产品经理,50-100人,25000,40000,合资,3,10,元年科技,"[""互联网""]"
468,1482196087983964185,广州海珠区,数据产品经理（商业化方向）,50-100人,25000,35000,合资,3,5,北京悦畅科技有限公司,"[""互联网""]"
469,1482196087983964184,广州,高级媒介专员（数据分析方向）,50-100人,10000,15000,合资,3,3,宝宝树,"[""互联网""]"
470,1482196087983964183,广州天河区,数据产品经理,50-100人,15000,30000,合资,3,3,资采信息,"[""互联网""]"
471,1482196087983964182,广州天河区,大数据产品经理,50-100人,20000,30000,合资,3,3,北明软件有限公司,"[""互联网""]"
472,1482196087983964181,广州,贝壳找房-广州站-数据分析专员,50-100人,5000,7000,合资,3,1,贝壳找房(北京)科技有限公司,"[""互联网""]"
473,1482196087983964180,广州,贝壳找房-广州站-交易数据分析专员,50-100人,4000,6000,合资,3,1,贝壳找房(北京)科技有限公司,"[""互联网""]"
474,1482196087983964179,广州,数据产品经理,50-100人,15000,20000,合资,2,3,餐道信息科技有限公司,"[""互联网""]"
475,1482196087983964178,广州番禺区,资深数据分析师,50-100人,30000,60000,合资,3,5,常相伴(武汉)科技有限公司,"[""互联网""]"
476,1482196087983964177,广州天河区,资深数据分析师,50-100人,30000,60000,合资,3,5,常相伴(武汉)科技有限公司,"[""互联网""]"
477,1482196087983964176,广州番禺区,资深数据分析师,50-100人,30000,60000,合资,3,5,常相伴(武汉)科技有限公司,"[""互联网""]"
478,1482196087983964175,广州天河区,资深数据分析师,50-100人,30000,60000,合资,3,5,常相伴(武汉)科技有限公司,"[""互联网""]"
479,1482196087983964174,广州天河区,项目交付工程师（数据治理）,50-100人,15000,25000,合资,2,3,四方伟业软件,"[""互联网""]"
480,1482196087983964173,广州,科学家/研究员/工程师（NLP）-创新工场AI工程院,50-100人,10000,15000,合资,3,0,创新工场(北京)企业管理股份有限公司,"[""互联网""]"
481,1482196087983964172,广州,高级数据分析师,50-100人,12000,25000,合资,3,3,大参林集团,"[""互联网""]"
482,1482196087983964171,广州,数据分析师（商品方向）,50-100人,15000,25000,合资,3,3,大参林集团,"[""互联网""]"
483,1482196087983964170,广州海珠区,数据分析师,50-100人,15000,25000,合资,3,5,大参林集团,"[""互联网""]"
484,1482196087983964169,广州,高级数据分析师,50-100人,12000,25000,合资,3,3,大参林集团,"[""互联网""]"
485,1482196087983964168,广州,数据分析师（商品方向）,50-100人,15000,25000,合资,3,3,大参林集团,"[""互联网""]"
486,1482196087983964167,广州海珠区,数据分析师,50-100人,15000,25000,合资,3,5,大参林集团,"[""互联网""]"
487,1482196087983964166,广州,数据产品经理,50-100人,15000,25000,合资,3,5,大参林集团,"[""互联网""]"
